0,2.323025920432875e-106
1,2.323025920432875e-106
2,1.0902171728144544e-105
3,5.093610122662381e-105
4,2.1828709703530877e-100
5,2.369454876339256e-81
6,3.681712220172032e-31
7,1.2742534906391824e-36
8,4.0672599108695867e-66
9,2.323025920432875e-106
10,1.0902171728144544e-105
11,5.093610122662381e-105
12,2.1828709703530877e-100
13,2.369454876339256e-81
14,3.681712220172032e-31
15,1.2742534906391824e-36
16,1.0
17,1.4358729182637275e-114
18,5.056794987798916e-103
19,9.541175936434534e-110
20,8.083486254173897e-78
21,0.9999915152138104
22,1.0
23,1.0
24,0.9999999570862615
25,1.7898665074670362e-104
26,3.479245539292032e-48
27,6.505080987180356e-62
28,9.007802622897169e-49
29,0.9998262668594222
30,1.0
31,1.0
32,0.9999999745814426
33,0.02315061099077713
34,0.9999999999998261
35,0.9999975522508103
36,0.9999999206488194
37,0.9599788692342222
38,0.947735509817943
39,0.9999999968855112
40,0.9999999999999999
41,0.0009650901464582265
42,0.9999862477696698
43,0.9999968426011563
44,0.9999998852510571
45,0.3097658599839426
46,0.9992771241526888
47,0.9992957842633593
48,0.9999999999999968
49,2.2357988076091617e-102
50,1.0526496763455543e-44
51,1.9708210270841302e-32
52,1.5827335749483396e-18
53,0.9998209965577348
54,1.0
55,0.9999999973497076
56,0.9999999999999997
57,9.541175936434534e-110
58,2.3205565710878266e-102
59,1.9791891054546833e-110
60,7.704395307860601e-69
61,0.9995107692930663
62,0.9999999999995545
63,0.9999999999999991
